Date,ICSA
1989-01-06,304000.0
1989-01-09,304000.0
1989-01-10,304000.0
1989-01-11,304000.0
1989-01-12,299000.0
1989-01-13,299000.0
1989-01-16,299000.0
1989-01-17,299000.0
1989-01-18,299000.0
1989-01-19,283000.0
1989-01-20,283000.0
1989-01-23,283000.0
1989-01-24,283000.0
1989-01-25,283000.0
1989-01-26,282000.0
1989-01-27,282000.0
1989-01-30,282000.0
1989-01-31,282000.0
1989-02-01,282000.0
1989-02-02,295000.0
1989-02-03,295000.0
1989-02-06,295000.0
1989-02-07,295000.0
1989-02-08,295000.0
1989-02-09,288000.0
1989-02-10,288000.0
1989-02-13,288000.0
1989-02-14,288000.0
1989-02-15,288000.0
1989-02-16,322000.0
1989-02-17,322000.0
1989-02-21,322000.0
1989-02-22,322000.0
1989-02-23,305000.0
1989-02-24,305000.0
1989-02-27,305000.0
1989-02-28,305000.0
1989-03-01,305000.0
1989-03-02,300000.0
1989-03-03,300000.0
1989-03-06,300000.0
1989-03-07,300000.0
1989-03-08,300000.0
1989-03-09,325000.0
1989-03-10,325000.0
1989-03-13,325000.0
1989-03-14,325000.0
1989-03-15,325000.0
1989-03-16,325000.0
1989-03-17,325000.0
1989-03-20,325000.0
1989-03-21,325000.0
1989-03-22,325000.0
1989-03-23,319000.0
1989-03-27,319000.0
1989-03-28,319000.0
1989-03-29,319000.0
1989-03-30,319000.0
1989-03-31,319000.0
1989-04-03,319000.0
1989-04-04,319000.0
1989-04-05,319000.0
1989-04-06,323000.0
1989-04-07,323000.0
1989-04-10,323000.0
1989-04-11,323000.0
1989-04-12,323000.0
1989-04-13,314000.0
1989-04-14,314000.0
1989-04-17,314000.0
1989-04-18,314000.0
1989-04-19,314000.0
1989-04-20,307000.0
1989-04-21,307000.0
1989-04-24,307000.0
1989-04-25,307000.0
1989-04-26,307000.0
1989-04-27,304000.0
1989-04-28,304000.0
1989-05-01,304000.0
1989-05-02,304000.0
1989-05-03,304000.0
1989-05-04,311000.0
1989-05-05,311000.0
1989-05-08,311000.0
1989-05-09,311000.0
1989-05-10,311000.0
1989-05-11,320000.0
1989-05-12,320000.0
1989-05-15,320000.0
1989-05-16,320000.0
1989-05-17,320000.0
1989-05-18,332000.0
1989-05-19,332000.0
1989-05-22,332000.0
1989-05-23,332000.0
1989-05-24,332000.0
1989-05-25,321000.0
1989-05-26,321000.0
1989-05-30,321000.0
1989-05-31,321000.0
1989-06-01,325000.0
1989-06-02,325000.0
1989-06-05,325000.0
1989-06-06,325000.0
1989-06-07,325000.0
1989-06-08,325000.0
1989-06-09,325000.0
1989-06-12,325000.0
1989-06-13,325000.0
1989-06-14,325000.0
1989-06-15,332000.0
1989-06-16,332000.0
1989-06-19,332000.0
1989-06-20,332000.0
1989-06-21,332000.0
1989-06-22,337000.0
1989-06-23,337000.0
1989-06-26,337000.0
1989-06-27,337000.0
1989-06-28,337000.0
1989-06-29,338000.0
1989-06-30,338000.0
1989-07-03,338000.0
1989-07-05,338000.0
1989-07-06,349000.0
1989-07-07,349000.0
1989-07-10,349000.0
1989-07-11,349000.0
1989-07-12,349000.0
1989-07-13,341000.0
1989-07-14,341000.0
1989-07-17,341000.0
1989-07-18,341000.0
1989-07-19,341000.0
1989-07-20,349000.0
1989-07-21,349000.0
1989-07-24,349000.0
1989-07-25,349000.0
1989-07-26,349000.0
1989-07-27,332000.0
1989-07-28,332000.0
1989-07-31,332000.0
1989-08-01,332000.0
1989-08-02,332000.0
1989-08-03,337000.0
1989-08-04,337000.0
1989-08-07,337000.0
1989-08-08,337000.0
1989-08-09,337000.0
1989-08-10,338000.0
1989-08-11,338000.0
1989-08-14,338000.0
1989-08-15,338000.0
1989-08-16,338000.0
1989-08-17,341000.0
1989-08-18,341000.0
1989-08-21,341000.0
1989-08-22,341000.0
1989-08-23,341000.0
1989-08-24,327000.0
1989-08-25,327000.0
1989-08-28,327000.0
1989-08-29,327000.0
1989-08-30,327000.0
1989-08-31,332000.0
1989-09-01,332000.0
1989-09-05,332000.0
